NCBI,Name,FullName,FullNCBI
1994,Chitinibacter,R__root;D__Bacteria;P__Proteobacteria;C__Betaproteobacteria;O__Neisseriales;F__Neisseriaceae;G__Chitinibacter,1;3;36;174;376;662;1994
2978,Halarsenatibacter,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Halanaerobiales;F__Halanaerobiaceae;G__Halarsenatibacter,1;3;52;202;460;886;2978
3316,Agreia,R__root;D__Bacteria;P__Actinobacteria;C__Actinobacteria;C1__Actinobacteridae;O__Actinomycetales;O1__Micrococcineae;F__Microbacteriaceae;G__Agreia,1;3;18;123;294;514;1048;3111;3316
2280,Aliidiomarina,R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Alteromonadales;F__Idiomarinaceae;G__Aliidiomarina,1;3;36;177;401;717;2280
1860,Sandarakinorhabdus,R__root;D__Bacteria;P__Proteobacteria;C__Alphaproteobacteria;O__Sphingomonadales;F__Sphingomonadaceae;G__Sandarakinorhabdus,1;3;36;173;366;647;1860
566,Waddliaceae,R__root;D__Bacteria;P__Chlamydiae;C__Chlamydiia;O__Chlamydiales;F__Waddliaceae,1;3;23;143;312;566
1399,Waddlia,R__root;D__Bacteria;P__Chlamydiae;C__Chlamydiia;O__Chlamydiales;F__Waddliaceae;G__Waddlia,1;3;23;143;312;566;1399
2574,unclassified_Thermodesulfobacteriaceae,R__root;D__Bacteria;P__Thermodesulfobacteria;C__Thermodesulfobacteria;O__Thermodesulfobacteriales;F__Thermodesulfobacteriaceae;F1__unclassified_Thermodesulfobacteriaceae,1;3;40;183;424;798;2574
1226,Bizionia,R__root;D__Bacteria;P__Bacteroidetes;C__Flavobacteriia;O__Flavobacteriales;F__Flavobacteriaceae;G__Bizionia,1;3;21;139;309;552;1226
1195,Rapidithrix,R__root;D__Bacteria;P__Bacteroidetes;C__Cytophagia;O__Cytophagales;F__Flammeovirgaceae;G__Rapidithrix,1;3;21;138;308;546;1195
1193,Perexilibacter,R__root;D__Bacteria;P__Bacteroidetes;C__Cytophagia;O__Cytophagales;F__Flammeovirgaceae;G__Perexilibacter,1;3;21;138;308;546;1193
2505,Dyella,R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Xanthomonadales;F__Xanthomonadaceae;G__Dyella,1;3;36;177;413;781;2505
2117,Geothermobacter,R__root;D__Bacteria;P__Proteobacteria;C__Deltaproteobacteria;O__Desulfuromonadales;F__Geobacteraceae;G__Geothermobacter,1;3;36;175;388;686;2117
258,Bryocella,R__root;D__Bacteria;P__Acidobacteria;C__Acidobacteria_Gp1;G__Bryocella,1;3;17;106;258
2563,Mesoplasma,R__root;D__Bacteria;P__Tenericutes;C__Mollicutes;O__Entomoplasmatales;F__Entomoplasmataceae;G__Mesoplasma,1;3;39;182;420;793;2563
2914,Desulfitispora,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Peptococcaceae 1;G__Desulfitispora,1;3;52;202;459;876;2914
436,Limisphaera,R__root;D__Bacteria;P__Verrucomicrobia;C__Subdivision3;G__Limisphaera,1;3;42;187;436
2527,Xylella,R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Xanthomonadales;F__Xanthomonadaceae;G__Xylella,1;3;36;177;413;781;2527
757,unclassified_Legionellales,R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Legionellales;O1__unclassified_Legionellales,1;3;36;177;406;757
1593,Hoeflea,R__root;D__Bacteria;P__Proteobacteria;C__Alphaproteobacteria;O__Rhizobiales;F__Phyllobacteriaceae;G__Hoeflea,1;3;36;173;360;628;1593
613,unclassified_Caulobacterales,R__root;D__Bacteria;P__Proteobacteria;C__Alphaproteobacteria;O__Caulobacterales;O1__unclassified_Caulobacterales,1;3;36;173;355;613
615,Kordiimonadaceae,R__root;D__Bacteria;P__Proteobacteria;C__Alphaproteobacteria;O__Kordiimonadales;F__Kordiimonadaceae,1;3;36;173;358;615
1522,Kordiimonas,R__root;D__Bacteria;P__Proteobacteria;C__Alphaproteobacteria;O__Kordiimonadales;F__Kordiimonadaceae;G__Kordiimonas,1;3;36;173;358;615;1522
1975,Ferriphaselus,R__root;D__Bacteria;P__Proteobacteria;C__Betaproteobacteria;O__Gallionellales;F__Gallionellaceae;G__Ferriphaselus,1;3;36;174;373;659;1975
3138,Scardovia,R__root;D__Bacteria;P__Actinobacteria;C__Actinobacteria;C1__Actinobacteridae;O__Bifidobacteriales;F__Bifidobacteriaceae;G__Scardovia,1;3;18;123;294;515;1055;3138
1488,Planctopirus,R__root;D__Bacteria;P__Planctomycetes;C__Planctomycetia;O__Planctomycetales;F__Planctomycetaceae;G__Planctopirus,1;3;35;170;350;604;1488
1476,Candidatus Anammoxoglobus,R__root;D__Bacteria;P__Planctomycetes;C__Planctomycetia;O__Candidatus Brocadiales;F__Candidatus Brocadiaceae;G__Candidatus Anammoxoglobus,1;3;35;170;349;603;1476
270,Thermoanaerobaculum,R__root;D__Bacteria;P__Acidobacteria;C__Acidobacteria_Gp23;G__Thermoanaerobaculum,1;3;17;110;270
2535,unclassified_Leptospiraceae,R__root;D__Bacteria;P__Spirochaetes;C__Spirochaetia;O__Spirochaetales;F__Leptospiraceae;F1__unclassified_Leptospiraceae,1;3;37;180;416;786;2535
2546,Aminobacterium,R__root;D__Bacteria;P__Synergistetes;C__Synergistia;O__Synergistales;F__Synergistaceae;G__Aminobacterium,1;3;38;181;417;790;2546
2640,Lentibacillus,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Bacillales;F__Bacillaceae 2;G__Lentibacillus,1;3;52;201;456;833;2640
2592,unclassified_Opitutaceae,R__root;D__Bacteria;P__Verrucomicrobia;C__Opitutae;O__Opitutales;F__Opitutaceae;F1__unclassified_Opitutaceae,1;3;42;185;429;803;2592
553,Schleiferiaceae,R__root;D__Bacteria;P__Bacteroidetes;C__Flavobacteriia;O__Flavobacteriales;F__Schleiferiaceae,1;3;21;139;309;553
1339,Schleiferia,R__root;D__Bacteria;P__Bacteroidetes;C__Flavobacteriia;O__Flavobacteriales;F__Schleiferiaceae;G__Schleiferia,1;3;21;139;309;553;1339
1955,Duganella,R__root;D__Bacteria;P__Proteobacteria;C__Betaproteobacteria;O__Burkholderiales;F__Oxalobacteraceae;G__Duganella,1;3;36;174;369;654;1955
1635,Starkeya,R__root;D__Bacteria;P__Proteobacteria;C__Alphaproteobacteria;O__Rhizobiales;F__Xanthobacteraceae;G__Starkeya,1;3;36;173;360;633;1635
1453,Vulcanithermus,R__root;D__Bacteria;P__Deinococcus-Thermus;C__Deinococci;O__Thermales;F__Thermaceae;G__Vulcanithermus,1;3;28;157;333;589;1453
1216,Algibacter,R__root;D__Bacteria;P__Bacteroidetes;C__Flavobacteriia;O__Flavobacteriales;F__Flavobacteriaceae;G__Algibacter,1;3;21;139;309;552;1216
1155,Fibrella,R__root;D__Bacteria;P__Bacteroidetes;C__Cytophagia;O__Cytophagales;F__Cytophagaceae;G__Fibrella,1;3;21;138;308;545;1155
1340,Rhodothermus,R__root;D__Bacteria;P__Bacteroidetes;C__Sphingobacteriia;O__Sphingobacteriales;F__Rhodothermaceae;G__Rhodothermus,1;3;21;140;310;555;1340
1872,Advenella,R__root;D__Bacteria;P__Proteobacteria;C__Betaproteobacteria;O__Burkholderiales;F__Alcaligenaceae;G__Advenella,1;3;36;174;369;650;1872
1978,unclassified_Gallionellaceae,R__root;D__Bacteria;P__Proteobacteria;C__Betaproteobacteria;O__Gallionellales;F__Gallionellaceae;F1__unclassified_Gallionellaceae,1;3;36;174;373;659;1978
1665,Haematobacter,R__root;D__Bacteria;P__Proteobacteria;C__Alphaproteobacteria;O__Rhodobacterales;F__Rhodobacteraceae;G__Haematobacter,1;3;36;173;361;635;1665
607,Breoghania,R__root;D__Bacteria;P__Proteobacteria;C__Alphaproteobacteria;O__Alphaproteobacteria_incertae_sedis;G__Breoghania,1;3;36;173;354;607
256,Acidipila,R__root;D__Bacteria;P__Acidobacteria;C__Acidobacteria_Gp1;G__Acidipila,1;3;17;106;256
3483,Streptacidiphilus,R__root;D__Bacteria;P__Actinobacteria;C__Actinobacteria;C1__Actinobacteridae;O__Actinomycetales;O1__Streptomycineae;F__Streptomycetaceae;G__Streptacidiphilus,1;3;18;123;294;514;1052;3124;3483
3419,Rugosimonospora,R__root;D__Bacteria;P__Actinobacteria;C__Actinobacteria;C1__Actinobacteridae;O__Actinomycetales;O1__Micromonosporineae;F__Micromonosporaceae;G__Rugosimonospora,1;3;18;123;294;514;1049;3119;3419
3179,Jahnella,R__root;D__Bacteria;P__Proteobacteria;C__Deltaproteobacteria;O__Myxococcales;O1__Sorangiineae;F__Polyangiaceae;G__Jahnella,1;3;36;175;389;691;2130;3179
1630,Ancylobacter,R__root;D__Bacteria;P__Proteobacteria;C__Alphaproteobacteria;O__Rhizobiales;F__Xanthobacteraceae;G__Ancylobacter,1;3;36;173;360;633;1630
2048,unclassified_Sulfuricellaceae,R__root;D__Bacteria;P__Proteobacteria;C__Betaproteobacteria;O__Sulfuricellales;F__Sulfuricellaceae;F1__unclassified_Sulfuricellaceae,1;3;36;174;379;667;2048
2537,Borreliella,R__root;D__Bacteria;P__Spirochaetes;C__Spirochaetia;O__Spirochaetales;F__Spirochaetaceae;G__Borreliella,1;3;37;180;416;787;2537
2215,Thorsellia,R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Enterobacteriales;F__Enterobacteriaceae;G__Thorsellia,1;3;36;177;396;702;2215
2364,Methylomicrobium,R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Methylococcales;F__Methylococcaceae;G__Methylomicrobium,1;3;36;177;407;758;2364
2270,Teredinibacter,R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Alteromonadales;F__Alteromonadales_incertae_sedis;G__Teredinibacter,1;3;36;177;401;712;2270
